transaction_id,Ticker,Action,Date,Number,Total
B_1,Cash,In,22/03/21,,4235
B_2,SMT,Buy,23/03/21,2,22.9
B_3,MSCI_USA_Islamic,Buy,23/03/21,1,38.39
B_4,MSCI_World_Islamic,Buy,23/03/21,2,56.84
B_5,US_Tech_Sector,Buy,23/03/21,2,24.01
B_6,Physical_Gold,Buy,06/04/21,2,48.83
B_7,Bitcoin,Buy,08/03/21,0.002564102564103,100
B_8,Bitcoin,Buy,25/03/21,0.001428571428571,50
B_9,Bitcoin,Sell,13/04/21,0.003992673992674,182.52
B_10,Bitcoin,Buy,18/04/21,0.01000779,430
B_11,Bitcoin,Buy,19/04/21,0.00497513,200
B_12,Bitcoin,Buy,24/04/21,0.00829409,300
B_13,SMT,Buy,27/04/21,3,38.29
B_14,Shell,Buy,27/04/21,2,26.11
B_15,Global_Clean_Energy,Buy,27/04/21,4,40.64
B_16,BP,Buy,27/04/21,10,30.04
B_17,MSCI_World_Islamic,Buy,27/04/21,2,59.2
B_18,Bitcoin,Buy,13/05/21,0.01294115,450
B_19,Ether,Buy,14/05/21,0.176116858252958,500
B_20,Physical_Gold,Buy,19/07/21,1,25.68
B_21,Global_Clean_Energy,Buy,19/07/21,3,27.24
B_22,S_P_500_Health_Care,Buy,19/07/21,9,63.45
B_23,Physical_Silver,Buy,19/07/21,2,34.48
B_24,Antofagasta,Buy,19/07/21,2,27.16
B_25,MSCI_World_Islamic,Buy,19/07/21,3,89.91
B_26,MSCI_USA_Islamic,Buy,19/07/21,2,81.8
B_27,US_Tech_Sector,Buy,19/07/21,2,27.46
B_28,SMT,Buy,19/07/21,2,25.82
B_29,BT,Buy,19/07/21,16,29.27
B_30,MSCI_USA_Islamic,Buy,19/07/21,1,40.85
B_31,Walgreen_Boots,Buy,19/07/21,0.74796747,24.96
B_32,Walgreen_Boots,Buy,02/08/21,0.87486811,29.96
B_33,S_P_500_Health_Care,Buy,02/08/21,20,144.05
B_34,Global_Clean_Energy,Buy,02/08/21,3,28.33
B_35,BT,Buy,02/08/21,16,28.41
B_36,Physical_Silver,Buy,02/08/21,2,34.04
B_37,US_Tech_Sector,Buy,02/08/21,3,41.82
B_38,MSCI_USA_Islamic,Buy,02/08/21,3,126.51
B_39,Physical_Platinum,Buy,02/08/21,2,21.91
B_40,MSCI_World_Islamic,Buy,02/08/21,5,154.05
B_41,Alibaba,Buy,09/08/21,0.24144682,33.96
B_42,MSCI_USA_Islamic,Buy,09/08/21,2,84.42
B_43,MSCI_World_Islamic,Buy,09/08/21,3,92.28
B_44,BT,Buy,09/08/21,10,17.55
B_45,Antofagasta,Buy,09/08/21,1,15.17
B_46,Bitcoin,Sell,10/08/21,0.01621816,535
B_47,Ether,Sell,10/08/21,0.076116858252958,175
B_48,Physical_Gold,Buy,17/08/21,1,25.4
B_49,Shell,Buy,17/08/21,1,14.23
B_50,MSCI_World_Islamic,Buy,17/08/21,4,124.88
B_51,S_P_500_Health_Care,Buy,17/08/21,10,73.77
B_52,BT,Buy,17/08/21,17,29.65
B_53,BP,Buy,17/08/21,5,15
B_54,Physical_Silver,Buy,17/08/21,2,32.27
B_55,MSCI_USA_Islamic,Buy,17/08/21,3,128.79
B_56,Walgreen_Boots,Buy,17/08/21,2.36274908,84.86
B_57,Alibaba,Buy,17/08/21,0.54423973,69.89
B_58,Ether,Buy,17/08/21,0.0225,50.31
B_59,Ether,Buy,17/08/21,0.0226,49.97
B_60,Bitcoin,Buy,18/08/21,0.0016,51.86
B_61,Ether,Buy,18/08/21,0.0229,50.06
B_62,Bitcoin,Buy,25/08/21,0.0029,100.55
B_63,Bitcoin,Buy,26/08/21,0.00366,125.06
B_64,Ether,Sell,30/08/21,0.084,202.22
B_65,Ether,Sell,31/08/21,0.084,206
B_66,Bitcoin,Sell,02/09/21,0.00316,112.54
B_67,Bitcoin,Sell,05/09/21,0.005,182
B_68,Bitcoin,Sell,05/09/21,0.005,185
B_69,Bitcoin,Sell,07/09/21,0.01,319.5
B_70,Bitcoin,Buy,07/09/21,0.00586,200
B_71,Ether,Buy,07/09/21,0.080114,200
B_72,MSCI_USA_Islamic,Buy,08/09/21,1,43.2
B_73,MSCI_World_Islamic,Buy,08/09/21,2,62.72
B_74,BP,Buy,08/09/21,5,14.89
B_75,Shell,Buy,08/09/21,1,14.35
B_76,Physical_Silver,Buy,08/09/21,4,65.96
B_77,SMT,Buy,08/09/21,4,56.25
B_78,BT,Buy,08/09/21,45,73.9
B_79,Physical_Gold,Buy,08/09/21,3,76.53
B_80,S_P_500_Health_Care,Buy,08/09/21,8,59.54
B_81,Intel,Buy,08/09/21,1.27426552,49.92
B_82,Alibaba,Buy,08/09/21,0.39,49.92
B_83,Walgreen_Boots,Buy,08/09/21,2.62541414,98.32
B_84,Bitcoin,Buy,10/09/21,0.003382,110
B_85,Ether,Buy,10/09/21,0.01419,33
B_86,Bitcoin,Buy,13/09/21,0.00309763,100
B_87,Ether,Buy,13/09/21,0.04297885,100
B_88,Bitcoin,Sell,14/09/21,0.01733963,583
B_89,Ether,Sell,14/09/21,0.13728497,334
B_90,Bitcoin,Buy,16/09/21,0.00430682,149
B_91,Bitcoin,Buy,16/09/21,0.02022632,700
B_92,Ether,Buy,16/09/21,0.07750109,200
B_93,Bitcoin,Buy,20/09/21,0.01428265,450
B_94,Ether,Buy,20/09/21,0.13773241,300
B_95,Bitcoin,Sell,05/10/21,0.0238158,875.6
B_96,Ether,Sell,05/10/21,0.2152314,555
B_97,Bitcoin,Sell,05/10/21,0.005,188
B_98,Bitcoin,Sell,06/10/21,0.005,198.5
B_99,Cash,In,9/10/2021,,1750
B_100,Alibaba,Buy,11/10/21,0.87586123,106.85
B_101,Intel,Buy,11/10/21,0.62428597,24.96
B_102,Walgreen_Boots,Buy,11/10/21,0.84711518,29.95
B_103,Alibaba,Buy,11/10/21,0.81505079,99.85
B_104,Physical_Silver,Buy,11/10/21,6,92.43
B_105,MSCI_World_Islamic,Buy,11/10/21,6,184.74
B_106,S_P_500_Health_Care,Buy,11/10/21,21,147.83
B_107,Physical_Gold,Buy,11/10/21,4,100.4
B_108,MSCI_USA_Islamic,Buy,11/10/21,5,213
B_109,Bitcoin,Sell,11/10/21,0.005,203.73
B_110,Cash,In,11/10/21,,978
B_111,Cash,In,19/10/21,,1000
B_112,Intel,Buy,21/01/21,2.46338837,99.86
B_113,Intel,Buy,22/10/21,2.74854388,99.85
B_114,BT,Buy,25/10/21,73,99.81
B_115,Intel,Buy,28/10/21,1.42286902,49.92
B_116,Walgreen_Boots,Buy,28/10/21,1.45462274,49.92
B_117,Alibaba,Buy,29/10/21,0.8211,99.86
B_118,Physical_Silver,Buy,29/10/21,3,48.4
B_119,Physical_Gold,Buy,29/10/21,2,50.46
B_120,MSCI_World_Islamic,Buy,29/10/21,3,95.25
B_121,Physical_Silver,Buy,04/11/21,3,48.45
B_122,Physical_Gold,Buy,04/11/21,2,50.9
B_123,Intel,Buy,04/11/21,1.60987802,59.91
B_124,Alibaba,Buy,08/11/21,0.6294704,74.89
B_125,BT,Buy,08/11/21,46,73.85
B_126,Alibaba,Buy,23/11/21,1.4796,149.76
B_127,Alibaba,Buy,26/11/21,0.5,49.92
B_128,Shell,Buy,26/11/21,6,94.98
B_129,BP,Buy,26/11/21,10,32.66
B_130,Physical_Platinum,Buy,24/11/21,9,95.39
B_131,Intel,Buy,26/11/21,2.03983572,74.9
B_132,Cash,In,02/12/2021,,500
B_133,MSCI_World_Islamic,Buy,30/11/21,2,64.25
B_134,Physical_Gold,Buy,30/11/21,2,52.48
B_135,Physical_Silver,Buy,30/11/21,2,31.85
B_136,SMT,Buy,30/11/21,3,45.5
B_137,BP,Buy,30/11/21,10,32.32
B_138,Physical_Platinum,Buy,30/11/21,3,30.87
B_139,Shell,Buy,30/11/21,2,31.38
B_140,BT,Buy,30/11/21,30,48.74
B_141,Shell,Buy,02/12/21,2,32.64
B_142,Alibaba,Buy,02/12/21,0.53444,49.92
B_143,BT,Buy,02/12/21,29,49.48
B_144,Alibaba,Buy,03/12/21,1.16757,99.86
B_145,Alibaba,Buy,29/12/21,1.205,99.85
B_146,Bitcoin,Buy,08/01/2021,0.00745878,232
B_147,Ether,Buy,08/01/2021,0.04345048,100
B_148,Bitcoin,Buy,22/01/22,0.00740941,200
B_149,Ether,Buy,22/01/22,0.07894224,150
B_150,Bitcoin,Buy,22/01/22,0.00575432,150
B_151,Ether,Buy,22/01/22,0.05583816,100
B_152,Ether,Buy,24/01/22,0.06090882,100
B_153,Lloyds,Buy,25/02/22,207,99.54
B_154,SMT,Buy,25/02/22,5,49.15
B_155,Antofagasta,Buy,25/02/22,3,41.73
B_156,Intel,Buy,25/02/22,1.43458549,49.92
B_157,Alibaba,Buy,25/02/22,0.95194049,74.9
B_158,Walgreen_Boots,Buy,25/02/22,1.46243409,49.92
B_159,Polymetal,Buy,09/03/22,114,149.77
B_160,Polymetal,Buy,09/03/22,94,135.31
B_161,Polymetal,Buy,09/03/22,13,18.17
B_162,Cash,In,18/03/22,,282
B_163,Alibaba,Buy,24/03/22,2.91969373,249.64
B_164,Central_Asia_Metals,Buy,24/03/22,68,162.37
B_165,Shell,Sell,29/03/22,4,83.18
B_166,Antofagasta,Sell,29/03/22,3,52.13
B_167,BP,Sell,29/03/22,10,38.58
B_168,Physical_Silver,Sell,29/03/22,4,70.33
B_169,BT,Sell,29/03/22,32,59.99
B_170,Walgreen_Boots,Buy,30/03/22,2.75173867,99.85
B_171,Global_Clean_Energy,Buy,30/03/22,10,93.76
B_172,Lloyds,Buy,31/03/22,207,99.96
B_173,Central_Asia_Metals,Buy,31/03/22,63,149.78
B_174,SMT,Buy,31/03/22,20,209.81
B_175,Alibaba,Buy,20/04/22,2.1397,149.77
B_176,Cash,In,23/04/22,,200
